id;role;skill;gold;rule
0;Data Scientist;deep learning;2;agree
1;Data Scientist;конвейеры данных;2;agree
2;Data Scientist;инфраструктура данных;2;agree
3;Data Scientist;mysql;1;band 1v2: e3 inflation
4;Data Scientist;дашборды;1;agree
5;Data Scientist;grafana;1;agree
6;Data Scientist;администрирование windows server;0;agree
7;Data Scientist;apache;1;band 2v1: e2 soft inflation
8;Data Scientist;consul;0;agree
9;Data Scientist;vault;0;agree
10;Data Scientist;tailwind;0;agree
11;Data Scientist;dom;0;agree
12;Data Scientist;svelte;0;agree
13;Data Scientist;zustand;0;agree
14;Data Scientist;balsamiq;0;agree
15;Data Scientist;инженерия подсказок;1;band 1v2: e3 inflation
16;Data Scientist;gpt;1;band 1v2: e3 inflation
17;Data Scientist;nltk;1;band 1v2: e3 inflation
18;Data Scientist;составление запросов к llm;2;agree
19;Data Scientist;question answering;1;band 1v2: e3 inflation
20;Data Scientist;долгосрочные эффекты;1;band 0v1: e2 strictness
21;Data Scientist;эффективное общение;1;band 2v1: e2 soft inflation
22;Data Scientist;рефлексивная практика;1;agree
23;Data Scientist;анализ поведения ии;1;agree
24;Data Scientist;этика разработки;1;agree
25;Data Scientist;neo4j;1;band 1v2: e3 inflation
26;Data Scientist;trino;1;band 1v2: e3 inflation
27;Data Scientist;oracle db;1;band 1v2: e3 inflation
28;Data Scientist;database design;1;band 1v2: e3 inflation
29;Data Scientist;hadoop hdfs;1;band 1v2: e3 inflation
30;Data Scientist;защита информации;1;agree
31;Data Scientist;cpp;1;band 0v1: e2 strictness
32;Data Scientist;обеспечение качества;1;agree
33;Data Scientist;нефункциональные требования;1;band 0v1: e2 strictness
34;Data Scientist;сетевое взаимодействие;1;band 0v1: e2 strictness
35;Data Scientist;защищённый ии;1;agree
36;Data Scientist;responsible ai;1;agree
37;Data Scientist;этика ии;1;agree
38;Data Scientist;этические риски;1;agree
39;Data Scientist;oidc;0;agree
40;Data Scientist;c++ embedded;0;agree
41;Data Scientist;c++;1;band 0v1: e2 strictness
42;Data Scientist;esp32;0;agree
43;Data Scientist;ros;0;agree
44;Data Scientist;встроенное по c++;0;agree
45;Data Scientist;arcgis;1;band 0v1: e2 strictness
46;Data Scientist;гис;1;band 0v1: e2 strictness
47;Data Scientist;postgis;1;band 0v1: e2 strictness
48;Data Scientist;qgis;1;band 0v1: e2 strictness
49;Data Scientist;дзз;1;band 0v1: e2 strictness
50;Data Scientist;uml;1;band 0v1: e2 strictness
51;Data Scientist;интеграция 1с с другими системами;0;agree
52;Data Scientist;1c розница;0;agree
53;Data Scientist;программирование 1с;0;agree
54;Data Scientist;администрирование 1с;0;agree
55;Data Scientist;bayesian regression;2;agree
56;Data Scientist;апостериорное распределение;2;agree
57;Data Scientist;теория вероятностей;2;agree
58;Data Scientist;статистический вывод;2;agree
59;Data Scientist;байесовская оптимизация гиперпараметров;2;agree
60;Data Scientist;логическое программирование;1;band 0v1: e2 strictness
61;Data Scientist;reactive programming;1;band 0v1: e2 strictness
62;Data Scientist;обработка естественного языка;2;agree
63;Data Scientist;параллельное программирование;1;agree
64;Data Scientist;data analysis;2;agree
65;Data Scientist;react native;0;agree
66;Data Scientist;swiftui;0;agree
67;Data Scientist;ios;0;agree
68;Data Scientist;android;0;agree
69;Data Scientist;cocoapods;0;agree
70;Data Scientist;firebase;1;band 0v1: e2 strictness
71;Data Scientist;gcp;1;agree
72;Data Scientist;serverless framework;1;band 0v1: e2 strictness
73;Data Scientist;directus;0;agree
74;Data Scientist;netlify;0;agree
75;Data Scientist;машинное обучение python;2;agree
76;Data Scientist;аугментация данных;2;agree
77;Data Scientist;градиентный бустинг;2;agree
78;Data Scientist;подбор гиперпараметров;2;agree
79;Data Scientist;тонкая настройка;2;agree
80;Data Scientist;unreal engine;0;agree
81;Data Scientist;разработка игр;0;agree
82;Data Scientist;unity;0;agree
83;Data Scientist;webgl;0;agree
84;Data Scientist;opengl;0;agree
85;Data Scientist;сквозное тестирование;1;band 0v1: e2 strictness
86;Data Scientist;a/b тестирование;1;band 2v1: e2 soft inflation
87;Data Scientist;vitest;0;agree
88;Data Scientist;mocha;0;agree
89;Data Scientist;модульное тестирование;1;agree
90;Data Scientist;atlassian confluence;1;agree
91;Data Scientist;определение метрик успеха;1;band 2v1: e2 soft inflation
92;Data Scientist;соблюдение архитектуры;1;agree
93;Data Scientist;ведение бэклога;1;band 0v1: e2 strictness
94;Data Scientist;системный анализ;1;agree
95;Data Scientist;ktor;0;agree
96;Data Scientist;apollo graphql;0;agree
97;Data Scientist;testng;0;agree
98;Data Scientist;junit;0;agree
99;Data Scientist;tailwind css;0;agree
100;Data Scientist;solidity;0;agree
101;Data Scientist;c++ разработка;0;agree
102;Data Scientist;lua;0;agree
103;Data Scientist;elixir;0;agree
104;Data Scientist;typescript;0;agree
105;Data Scientist;устойчивость к атакам;1;agree
106;Data Scientist;feature preprocessing;2;agree
107;Data Scientist;управление проектами ии;1;agree
108;Data Scientist;многослойный перцептрон;2;agree
109;Data Scientist;data engineering;1;band 1v2: e3 inflation
110;Data Scientist;обучение нейросетей;2;agree
111;Data Scientist;язык запросов graphql;1;band 2v1: e2 soft inflation
112;Data Scientist;power automate;0;agree
113;Data Scientist;воплощённый ии;1;band 2v1: e2 soft inflation
114;Data Scientist;кодирование категорий;1;band 1v2: e3 inflation
115;Data Scientist;веб-аналитика;1;band 0v1: e2 strictness
116;Data Scientist;инженерная документация;1;agree
117;Data Scientist;fine-tuning;2;agree
118;Data Scientist;randomizedsearchcv;1;band 1v2: e3 inflation
119;Data Scientist;hadoop java;1;extreme: adjudicated
120;Data Scientist;rspec;0;agree
121;Data Scientist;cot;1;band 1v2: e3 inflation
122;Data Scientist;conversational ai;1;band 1v2: e3 inflation
123;Data Scientist;интеграция компонентов;1;agree
124;Data Scientist;теория алгоритмов;1;band 1v2: e3 inflation
125;Backend-разработчик;data science python;1;band 0v1: e2 strictness
126;Backend-разработчик;flink;1;agree
127;Backend-разработчик;t-sne;0;agree
128;Backend-разработчик;feature importance;0;agree
129;Backend-разработчик;streamlit;0;agree
130;Backend-разработчик;контейнеризация python;1;band 1v2: e3 inflation
131;Backend-разработчик;kibana;1;agree
132;Backend-разработчик;grafana;1;agree
133;Backend-разработчик;cmake;1;extreme: adjudicated
134;Backend-разработчик;apache;1;band 1v2: e3 inflation
135;Backend-разработчик;angular;0;agree
136;Backend-разработчик;figma;0;agree
137;Backend-разработчик;webgl;0;agree
138;Backend-разработчик;storybook;0;agree
139;Backend-разработчик;framer motion;0;agree
140;Backend-разработчик;эффективные промпты;1;band 0v1: e2 strictness
141;Backend-разработчик;llm-as-a-judge;1;band 0v1: e2 strictness
142;Backend-разработчик;визуально-языковые модели;1;band 0v1: e2 strictness
143;Backend-разработчик;agents;1;agree
144;Backend-разработчик;question answering;1;band 0v1: e2 strictness
145;Backend-разработчик;рефлексивная практика;1;agree
146;Backend-разработчик;работа в команде;1;band 1v2: e3 inflation
147;Backend-разработчик;коллаборация;1;band 1v2: e3 inflation
148;Backend-разработчик;кросс-функциональное взаимодействие;1;band 1v2: e3 inflation
149;Backend-разработчик;метарефлексия;1;band 0v1: e2 strictness
150;Backend-разработчик;ms sql server;1;band 1v2: e3 inflation
151;Backend-разработчик;timescaledb;1;agree
152;Backend-разработчик;amazon redshift;1;agree
153;Backend-разработчик;big data;1;agree
154;Backend-разработчик;presto;1;agree
155;Backend-разработчик;c;1;band 1v2: e3 inflation
156;Backend-разработчик;информационная безопасность;1;band 1v2: e3 inflation
157;Backend-разработчик;программные средства;1;band 1v2: e3 inflation
158;Backend-разработчик;программная документация;1;band 1v2: e3 inflation
159;Backend-разработчик;оценка трудоемкости;1;band 1v2: e3 inflation
160;Backend-разработчик;справедливый алгоритм;1;band 0v1: e2 strictness
161;Backend-разработчик;ai safety;1;band 0v1: e2 strictness
162;Backend-разработчик;валидация модели;1;band 0v1: e2 strictness
163;Backend-разработчик;explainable ai;1;band 0v1: e2 strictness
164;Backend-разработчик;trustworthy ai;1;band 0v1: e2 strictness
165;Backend-разработчик;esp32;0;agree
166;Backend-разработчик;c++ embedded;0;agree
167;Backend-разработчик;c++;1;band 1v2: e3 inflation
168;Backend-разработчик;разработка драйверов;0;agree
169;Backend-разработчик;rust;1;band 1v2: e3 inflation
170;Backend-разработчик;qgis;1;band 0v1: e2 strictness
171;Backend-разработчик;postgis;1;band 0v1: e2 strictness
172;Backend-разработчик;arcgis;1;band 0v1: e2 strictness
173;Backend-разработчик;гис;1;band 0v1: e2 strictness
174;Backend-разработчик;дзз;1;band 0v1: e2 strictness
175;Backend-разработчик;ms project;1;band 0v1: e2 strictness
176;Backend-разработчик;1c бухгалтерия;0;agree
177;Backend-разработчик;sap (модули);0;agree
178;Backend-разработчик;uml;1;agree
179;Backend-разработчик;администрирование 1с;0;agree
180;Backend-разработчик;теорема байеса;1;band 0v1: e2 strictness
