id;role;skill;expert1;expert2;expert3
0;Data Scientist;deep learning;;;
1;Data Scientist;конвейеры данных;;;
2;Data Scientist;инфраструктура данных;;;
3;Data Scientist;mysql;;;
4;Data Scientist;дашборды;;;
5;Data Scientist;grafana;;;
6;Data Scientist;администрирование windows server;;;
7;Data Scientist;apache;;;
8;Data Scientist;consul;;;
9;Data Scientist;vault;;;
10;Data Scientist;tailwind;;;
11;Data Scientist;dom;;;
12;Data Scientist;svelte;;;
13;Data Scientist;zustand;;;
14;Data Scientist;balsamiq;;;
15;Data Scientist;инженерия подсказок;;;
16;Data Scientist;gpt;;;
17;Data Scientist;nltk;;;
18;Data Scientist;составление запросов к llm;;;
19;Data Scientist;question answering;;;
20;Data Scientist;долгосрочные эффекты;;;
21;Data Scientist;эффективное общение;;;
22;Data Scientist;рефлексивная практика;;;
23;Data Scientist;анализ поведения ии;;;
24;Data Scientist;этика разработки;;;
25;Data Scientist;neo4j;;;
26;Data Scientist;trino;;;
27;Data Scientist;oracle db;;;
28;Data Scientist;database design;;;
29;Data Scientist;hadoop hdfs;;;
30;Data Scientist;защита информации;;;
31;Data Scientist;cpp;;;
32;Data Scientist;обеспечение качества;;;
33;Data Scientist;нефункциональные требования;;;
34;Data Scientist;сетевое взаимодействие;;;
35;Data Scientist;защищённый ии;;;
36;Data Scientist;responsible ai;;;
37;Data Scientist;этика ии;;;
38;Data Scientist;этические риски;;;
39;Data Scientist;oidc;;;
40;Data Scientist;c++ embedded;;;
41;Data Scientist;c++;;;
42;Data Scientist;esp32;;;
43;Data Scientist;ros;;;
44;Data Scientist;встроенное по c++;;;
45;Data Scientist;arcgis;;;
46;Data Scientist;гис;;;
47;Data Scientist;postgis;;;
48;Data Scientist;qgis;;;
49;Data Scientist;дзз;;;
50;Data Scientist;uml;;;
51;Data Scientist;интеграция 1с с другими системами;;;
52;Data Scientist;1c розница;;;
53;Data Scientist;программирование 1с;;;
54;Data Scientist;администрирование 1с;;;
55;Data Scientist;bayesian regression;;;
56;Data Scientist;апостериорное распределение;;;
57;Data Scientist;теория вероятностей;;;
58;Data Scientist;статистический вывод;;;
59;Data Scientist;байесовская оптимизация гиперпараметров;;;
60;Data Scientist;логическое программирование;;;
61;Data Scientist;reactive programming;;;
62;Data Scientist;обработка естественного языка;;;
63;Data Scientist;параллельное программирование;;;
64;Data Scientist;data analysis;;;
65;Data Scientist;react native;;;
66;Data Scientist;swiftui;;;
67;Data Scientist;ios;;;
68;Data Scientist;android;;;
69;Data Scientist;cocoapods;;;
70;Data Scientist;firebase;;;
71;Data Scientist;gcp;;;
72;Data Scientist;serverless framework;;;
73;Data Scientist;directus;;;
74;Data Scientist;netlify;;;
75;Data Scientist;машинное обучение python;;;
76;Data Scientist;аугментация данных;;;
77;Data Scientist;градиентный бустинг;;;
78;Data Scientist;подбор гиперпараметров;;;
79;Data Scientist;тонкая настройка;;;
80;Data Scientist;unreal engine;;;
81;Data Scientist;разработка игр;;;
82;Data Scientist;unity;;;
83;Data Scientist;webgl;;;
84;Data Scientist;opengl;;;
85;Data Scientist;сквозное тестирование;;;
86;Data Scientist;a/b тестирование;;;
87;Data Scientist;vitest;;;
88;Data Scientist;mocha;;;
89;Data Scientist;модульное тестирование;;;
90;Data Scientist;atlassian confluence;;;
91;Data Scientist;определение метрик успеха;;;
92;Data Scientist;соблюдение архитектуры;;;
93;Data Scientist;ведение бэклога;;;
94;Data Scientist;системный анализ;;;
95;Data Scientist;ktor;;;
96;Data Scientist;apollo graphql;;;
97;Data Scientist;testng;;;
98;Data Scientist;junit;;;
99;Data Scientist;tailwind css;;;
100;Data Scientist;solidity;;;
101;Data Scientist;c++ разработка;;;
102;Data Scientist;lua;;;
103;Data Scientist;elixir;;;
104;Data Scientist;typescript;;;
105;Data Scientist;устойчивость к атакам;;;
106;Data Scientist;feature preprocessing;;;
107;Data Scientist;управление проектами ии;;;
108;Data Scientist;многослойный перцептрон;;;
109;Data Scientist;data engineering;;;
110;Data Scientist;обучение нейросетей;;;
111;Data Scientist;язык запросов graphql;;;
112;Data Scientist;power automate;;;
113;Data Scientist;воплощённый ии;;;
114;Data Scientist;кодирование категорий;;;
115;Data Scientist;веб-аналитика;;;
116;Data Scientist;инженерная документация;;;
117;Data Scientist;fine-tuning;;;
118;Data Scientist;randomizedsearchcv;;;
119;Data Scientist;hadoop java;;;
