id;role;skill;expert2;expert3;adjudicated;comment;confirmed
3;Data Scientist;mysql;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
7;Data Scientist;apache;1;0;1;процессный/софтовый навык — смежный, не ядро;
15;Data Scientist;инженерия подсказок;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
16;Data Scientist;gpt;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
17;Data Scientist;nltk;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
19;Data Scientist;question answering;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
20;Data Scientist;долгосрочные эффекты;0;1;1;смежный: встречается в задачах роли эпизодически;
21;Data Scientist;эффективное общение;2;1;1;процессный/софтовый навык — смежный, не ядро;
25;Data Scientist;neo4j;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
26;Data Scientist;trino;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
27;Data Scientist;oracle db;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
28;Data Scientist;database design;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
29;Data Scientist;hadoop hdfs;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
31;Data Scientist;cpp;0;1;1;смежный: встречается в задачах роли эпизодически;
33;Data Scientist;нефункциональные требования;0;1;1;смежный: встречается в задачах роли эпизодически;
34;Data Scientist;сетевое взаимодействие;0;1;1;смежный: встречается в задачах роли эпизодически;
41;Data Scientist;c++;0;1;1;смежный: встречается в задачах роли эпизодически;
45;Data Scientist;arcgis;0;1;1;смежный: встречается в задачах роли эпизодически;
46;Data Scientist;гис;0;1;1;смежный: встречается в задачах роли эпизодически;
47;Data Scientist;postgis;0;1;1;смежный: встречается в задачах роли эпизодически;
48;Data Scientist;qgis;0;1;1;смежный: встречается в задачах роли эпизодически;
49;Data Scientist;дзз;0;1;1;смежный: встречается в задачах роли эпизодически;
50;Data Scientist;uml;0;1;1;смежный: встречается в задачах роли эпизодически;
60;Data Scientist;логическое программирование;0;1;1;смежный: встречается в задачах роли эпизодически;
61;Data Scientist;reactive programming;0;1;1;смежный: встречается в задачах роли эпизодически;
70;Data Scientist;firebase;0;1;1;смежный: встречается в задачах роли эпизодически;
72;Data Scientist;serverless framework;0;1;1;смежный: встречается в задачах роли эпизодически;
