id;role;skill;vote
249;DevOps-инженер;data processing;1
250;DevOps-инженер;power automate;0
251;DevOps-инженер;feature store;1
252;DevOps-инженер;анализ данных на python;0
253;DevOps-инженер;пакетная обработка;1
254;DevOps-инженер;jenkins;2
255;DevOps-инженер;teamcity;2
256;DevOps-инженер;openshift;2
257;DevOps-инженер;автоматизация развёртывания;2
258;DevOps-инженер;chef;2
259;DevOps-инженер;flux;2
260;DevOps-инженер;d3.js;0
261;DevOps-инженер;sketch;0
262;DevOps-инженер;next.js;0
263;DevOps-инженер;zustand;0
264;DevOps-инженер;улучшение промптов;0
265;DevOps-инженер;prompt engineering;0
266;DevOps-инженер;составление запросов к llm;0
267;DevOps-инженер;gpt;0
268;DevOps-инженер;agents;0
269;DevOps-инженер;учёт компетенций коллег;1
270;DevOps-инженер;неопределенность;0
271;DevOps-инженер;коммуникация;1
272;DevOps-инженер;рефлексивная практика;1
273;DevOps-инженер;перенос методов;0
274;DevOps-инженер;работа с базами данных;1
275;DevOps-инженер;nosql;1
276;DevOps-инженер;amazon redshift;1
277;DevOps-инженер;arenadata db;1
278;DevOps-инженер;data vault;0
279;DevOps-инженер;наладка программного обеспечения;1
280;DevOps-инженер;программные средства;1
281;DevOps-инженер;резервное копирование;2
282;DevOps-инженер;программная документация;1
283;DevOps-инженер;мультимедиа;0
284;DevOps-инженер;ai safety;0
285;DevOps-инженер;этика ии;0
286;DevOps-инженер;этический аудит;0
287;DevOps-инженер;безопасность алгоритмов;0
288;DevOps-инженер;identity server;1
289;DevOps-инженер;c++ embedded;0
290;DevOps-инженер;микроконтроллеры c++;0
291;DevOps-инженер;fpga;0
292;DevOps-инженер;встроенное по c++;0
293;DevOps-инженер;c++;0
294;DevOps-инженер;arcgis;0
295;DevOps-инженер;дзз;0
296;DevOps-инженер;postgis;0
297;DevOps-инженер;qgis;0
298;DevOps-инженер;гис;0
299;DevOps-инженер;1c розница;0
300;DevOps-инженер;uml;0
301;DevOps-инженер;интеграция 1с с другими системами;0
302;DevOps-инженер;программирование 1с;0
303;DevOps-инженер;1c предприятие;0
304;DevOps-инженер;проверка гипотез;0
305;DevOps-инженер;байесовские модели;0
306;DevOps-инженер;байесовская оптимизация;0
307;DevOps-инженер;теорема байеса;0
308;DevOps-инженер;теория случайных процессов;0
309;DevOps-инженер;computer vision;0
310;DevOps-инженер;data analysis;0
311;DevOps-инженер;togaf;1
312;DevOps-инженер;mlops;1
313;DevOps-инженер;restful;1
314;DevOps-инженер;swift;0
315;DevOps-инженер;kotlin;0
316;DevOps-инженер;android;0
317;DevOps-инженер;swiftui;0
318;DevOps-инженер;flutter;0
319;DevOps-инженер;gcp;2
320;DevOps-инженер;cloudformation;2
321;DevOps-инженер;azure;2
322;DevOps-инженер;directus;0
323;DevOps-инженер;serverless framework;2
324;DevOps-инженер;робототехника;0
325;DevOps-инженер;vae;0
326;DevOps-инженер;apriori;0
327;DevOps-инженер;распределённый градиентный спуск;0
328;DevOps-инженер;статистическая значимость;0
329;DevOps-инженер;unity;0
330;DevOps-инженер;opengl;0
331;DevOps-инженер;webgl;0
332;DevOps-инженер;разработка игр;0
333;DevOps-инженер;unreal engine;0
334;DevOps-инженер;swagger;1
335;DevOps-инженер;selenium;1
336;DevOps-инженер;тестирование безопасности;1
337;DevOps-инженер;тестирование по;1
338;DevOps-инженер;a/b тестирование;0
339;DevOps-инженер;системное проектирование;1
340;DevOps-инженер;анализ бизнес-проблем;0
341;DevOps-инженер;архитектура ии;0
342;DevOps-инженер;ведение бэклога;1
343;DevOps-инженер;управление конфигурациями;2
344;DevOps-инженер;hibernate;0
345;DevOps-инженер;quarkus;0
346;DevOps-инженер;rspec;0
347;DevOps-инженер;babel;0
348;DevOps-инженер;gradle;1
349;DevOps-инженер;c++ разработка;0
350;DevOps-инженер;typescript;1
351;DevOps-инженер;scss;0
352;DevOps-инженер;protobuf;1
353;DevOps-инженер;xslt;0
354;DevOps-инженер;устойчивость к атакам;1
355;DevOps-инженер;hadoop java;1
356;DevOps-инженер;оценка распределений;0
357;DevOps-инженер;байесовская статистика;0
358;DevOps-инженер;развёртывание nlp;1
359;DevOps-инженер;глубокое обучение с подкреплением;0
360;DevOps-инженер;теория категорий;0
361;DevOps-инженер;оценка трудоемкости;1
362;DevOps-инженер;matplotlib;0
363;DevOps-инженер;ado.net;0
364;DevOps-инженер;r;0
365;DevOps-инженер;администрирование систем;2
366;DevOps-инженер;веб-аналитика;0
367;DevOps-инженер;parameter-efficient fine-tuning;0
368;DevOps-инженер;transformer;0
369;DevOps-инженер;параметрическая настройка;1
370;DevOps-инженер;учет ролевых особенностей;0
371;DevOps-инженер;видео-языковые модели;0
372;DevOps-инженер;статистическое моделирование;0
373;DevOps-инженер;приватность;1
