id;role;skill;vote
0;Data Scientist;deep learning;2
1;Data Scientist;конвейеры данных;2
2;Data Scientist;инфраструктура данных;2
3;Data Scientist;mysql;1
4;Data Scientist;дашборды;1
5;Data Scientist;grafana;1
6;Data Scientist;администрирование windows server;0
7;Data Scientist;apache;1
8;Data Scientist;consul;0
9;Data Scientist;vault;0
10;Data Scientist;tailwind;0
11;Data Scientist;dom;0
12;Data Scientist;svelte;0
13;Data Scientist;zustand;0
14;Data Scientist;balsamiq;0
15;Data Scientist;инженерия подсказок;1
16;Data Scientist;gpt;1
17;Data Scientist;nltk;1
18;Data Scientist;составление запросов к llm;2
19;Data Scientist;question answering;1
20;Data Scientist;долгосрочные эффекты;0
21;Data Scientist;эффективное общение;2
22;Data Scientist;рефлексивная практика;1
23;Data Scientist;анализ поведения ии;1
24;Data Scientist;этика разработки;1
25;Data Scientist;neo4j;1
26;Data Scientist;trino;1
27;Data Scientist;oracle db;1
28;Data Scientist;database design;1
29;Data Scientist;hadoop hdfs;1
30;Data Scientist;защита информации;1
31;Data Scientist;cpp;0
32;Data Scientist;обеспечение качества;1
33;Data Scientist;нефункциональные требования;0
34;Data Scientist;сетевое взаимодействие;0
35;Data Scientist;защищённый ии;1
36;Data Scientist;responsible ai;1
37;Data Scientist;этика ии;1
38;Data Scientist;этические риски;1
39;Data Scientist;oidc;0
40;Data Scientist;c++ embedded;0
41;Data Scientist;c++;0
42;Data Scientist;esp32;0
43;Data Scientist;ros;0
44;Data Scientist;встроенное по c++;0
45;Data Scientist;arcgis;0
46;Data Scientist;гис;0
47;Data Scientist;postgis;0
48;Data Scientist;qgis;0
49;Data Scientist;дзз;0
50;Data Scientist;uml;0
51;Data Scientist;интеграция 1с с другими системами;0
52;Data Scientist;1c розница;0
53;Data Scientist;программирование 1с;0
54;Data Scientist;администрирование 1с;0
55;Data Scientist;bayesian regression;2
56;Data Scientist;апостериорное распределение;2
57;Data Scientist;теория вероятностей;2
58;Data Scientist;статистический вывод;2
59;Data Scientist;байесовская оптимизация гиперпараметров;2
60;Data Scientist;логическое программирование;0
61;Data Scientist;reactive programming;0
62;Data Scientist;обработка естественного языка;2
63;Data Scientist;параллельное программирование;1
64;Data Scientist;data analysis;2
65;Data Scientist;react native;0
66;Data Scientist;swiftui;0
67;Data Scientist;ios;0
68;Data Scientist;android;0
69;Data Scientist;cocoapods;0
70;Data Scientist;firebase;0
71;Data Scientist;gcp;1
72;Data Scientist;serverless framework;0
73;Data Scientist;directus;0
74;Data Scientist;netlify;0
75;Data Scientist;машинное обучение python;2
76;Data Scientist;аугментация данных;2
77;Data Scientist;градиентный бустинг;2
78;Data Scientist;подбор гиперпараметров;2
79;Data Scientist;тонкая настройка;2
80;Data Scientist;unreal engine;0
81;Data Scientist;разработка игр;0
82;Data Scientist;unity;0
83;Data Scientist;webgl;0
84;Data Scientist;opengl;0
85;Data Scientist;сквозное тестирование;0
86;Data Scientist;a/b тестирование;2
87;Data Scientist;vitest;0
88;Data Scientist;mocha;0
89;Data Scientist;модульное тестирование;1
90;Data Scientist;atlassian confluence;1
91;Data Scientist;определение метрик успеха;2
92;Data Scientist;соблюдение архитектуры;1
93;Data Scientist;ведение бэклога;0
94;Data Scientist;системный анализ;1
95;Data Scientist;ktor;0
96;Data Scientist;apollo graphql;0
97;Data Scientist;testng;0
98;Data Scientist;junit;0
99;Data Scientist;tailwind css;0
100;Data Scientist;solidity;0
101;Data Scientist;c++ разработка;0
102;Data Scientist;lua;0
103;Data Scientist;elixir;0
104;Data Scientist;typescript;0
105;Data Scientist;устойчивость к атакам;1
106;Data Scientist;feature preprocessing;2
107;Data Scientist;управление проектами ии;1
108;Data Scientist;многослойный перцептрон;2
109;Data Scientist;data engineering;1
110;Data Scientist;обучение нейросетей;2
111;Data Scientist;язык запросов graphql;1
112;Data Scientist;power automate;0
113;Data Scientist;воплощённый ии;1
114;Data Scientist;кодирование категорий;1
115;Data Scientist;веб-аналитика;0
116;Data Scientist;инженерная документация;1
117;Data Scientist;fine-tuning;2
118;Data Scientist;randomizedsearchcv;1
119;Data Scientist;hadoop java;0
120;Data Scientist;rspec;0
121;Data Scientist;cot;1
122;Data Scientist;conversational ai;1
123;Data Scientist;интеграция компонентов;1
124;Data Scientist;теория алгоритмов;1
