id;role;skill;vote
374;Системный аналитик;sas;0
375;Системный аналитик;ssrs;0
376;Системный аналитик;feature selection;0
377;Системный аналитик;обработка выбросов;0
378;Системный аналитик;feature engineering;0
379;Системный аналитик;powershell;1
380;Системный аналитик;администрирование windows server;0
381;Системный аналитик;vault;0
382;Системный аналитик;vagrant;0
383;Системный аналитик;kibana;0
384;Системный аналитик;scss;0
385;Системный аналитик;tailwind css;0
386;Системный аналитик;gatsby;0
387;Системный аналитик;redwoodjs;0
388;Системный аналитик;storybook;0
389;Системный аналитик;structured outputs;0
390;Системный аналитик;multimodal;0
391;Системный аналитик;nltk;0
392;Системный аналитик;fine-tuning;0
393;Системный аналитик;отладка промптов;0
394;Системный аналитик;soft skills;2
395;Системный аналитик;этика разработки;1
396;Системный аналитик;критический анализ ии;1
397;Системный аналитик;работа в команде;2
398;Системный аналитик;когнитивная предвзятость;1
399;Системный аналитик;greenplum;0
400;Системный аналитик;big data;1
401;Системный аналитик;data vault;1
402;Системный аналитик;amazon redshift;0
403;Системный аналитик;trino;0
404;Системный аналитик;технологический стек;2
405;Системный аналитик;нефункциональные требования;2
406;Системный аналитик;программно-аппаратные комплексы;1
407;Системный аналитик;технические средства;1
408;Системный аналитик;межсетевой экран;1
409;Системный аналитик;безопасность алгоритмов;0
410;Системный аналитик;соответствие стандартам;2
411;Системный аналитик;регуляторика ии;1
412;Системный аналитик;справедливый алгоритм;0
413;Системный аналитик;оценка рисков ии;1
414;Системный аналитик;fpga;0
415;Системный аналитик;микроконтроллеры c++;0
416;Системный аналитик;rust;0
417;Системный аналитик;встроенное по c++;0
418;Системный аналитик;c++;0
419;Системный аналитик;arcgis;0
420;Системный аналитик;дзз;0
421;Системный аналитик;гис;0
422;Системный аналитик;qgis;0
423;Системный аналитик;postgis;0
424;Системный аналитик;enterprise java;1
425;Системный аналитик;uml;2
426;Системный аналитик;ms project;1
427;Системный аналитик;erp;2
428;Системный аналитик;1c программирование;0
429;Системный аналитик;байесовские методы;0
430;Системный аналитик;гауссовские процессы;0
431;Системный аналитик;байесовский подход;0
432;Системный аналитик;байесовская оптимизация гиперпараметров;0
433;Системный аналитик;hyperopt;0
434;Системный аналитик;микросервисная архитектура;2
435;Системный аналитик;web application development;1
436;Системный аналитик;jamstack;0
437;Системный аналитик;data mining;0
438;Системный аналитик;etl;1
439;Системный аналитик;разработка мобильных приложений;0
440;Системный аналитик;swiftui;0
441;Системный аналитик;swift;0
442;Системный аналитик;objective-c;0
443;Системный аналитик;kotlin;0
444;Системный аналитик;headless cms;1
445;Системный аналитик;gcp;1
446;Системный аналитик;firebase;0
447;Системный аналитик;cloudformation;0
448;Системный аналитик;azure;1
449;Системный аналитик;градиентный бустинг;0
450;Системный аналитик;деревья решений;0
451;Системный аналитик;knn;0
452;Системный аналитик;подбор гиперпараметров;0
453;Системный аналитик;нейросетевые инновации;0
454;Системный аналитик;opengl;0
455;Системный аналитик;webgl;0
456;Системный аналитик;unity;0
457;Системный аналитик;разработка игр;0
458;Системный аналитик;unreal engine;0
459;Системный аналитик;тестирование по;2
460;Системный аналитик;тестирование безопасности;1
461;Системный аналитик;playwright;0
462;Системный аналитик;a/b тестирование;1
463;Системный аналитик;testng;0
464;Системный аналитик;atlassian confluence;2
465;Системный аналитик;управление проектами ии;1
466;Системный аналитик;системное проектирование;2
467;Системный аналитик;task management;1
468;Системный аналитик;разработка технических заданий;2
469;Системный аналитик;kafka streams;1
470;Системный аналитик;webpack;0
471;Системный аналитик;three.js;0
472;Системный аналитик;quarkus;0
473;Системный аналитик;socket.io;1
474;Системный аналитик;typescript;0
475;Системный аналитик;llvm;0
476;Системный аналитик;shell script;0
477;Системный аналитик;современный c++;0
478;Системный аналитик;xpath;1
479;Системный аналитик;мета-обучение;0
480;Системный аналитик;1c документооборот;1
481;Системный аналитик;openai api;0
482;Системный аналитик;presto;0
483;Системный аналитик;deep learning research;0
484;Системный аналитик;robot framework;1
485;Системный аналитик;dom;1
486;Системный аналитик;механизм внимания;0
487;Системный аналитик;диффузионные модели;0
488;Системный аналитик;jdbc;1
489;Системный аналитик;remix;0
490;Системный аналитик;спецификации (openapi);2
491;Системный аналитик;net core;1
492;Системный аналитик;визуально-языковые модели;0
493;Системный аналитик;generative ai;1
494;Системный аналитик;командная работа;2
495;Системный аналитик;ассоциативные правила;0
496;Системный аналитик;оптимизация sql-запросов;1
497;Системный аналитик;мультимодальные llm;0
498;Системный аналитик;анализ данных;1
