id;role;skill;vote;argtype
0;Data Scientist;deep learning;2;K
1;Data Scientist;конвейеры данных;2;K
2;Data Scientist;инфраструктура данных;2;K
3;Data Scientist;mysql;2;K
4;Data Scientist;дашборды;1;S
5;Data Scientist;grafana;1;S
6;Data Scientist;администрирование windows server;0;M
7;Data Scientist;apache;0;M
8;Data Scientist;consul;0;M
9;Data Scientist;vault;0;M
10;Data Scientist;tailwind;0;M
11;Data Scientist;dom;0;M
12;Data Scientist;svelte;0;M
13;Data Scientist;zustand;0;M
14;Data Scientist;balsamiq;0;M
15;Data Scientist;инженерия подсказок;2;K
16;Data Scientist;gpt;2;K
17;Data Scientist;nltk;2;K
18;Data Scientist;составление запросов к llm;2;K
19;Data Scientist;question answering;2;K
20;Data Scientist;долгосрочные эффекты;1;S
21;Data Scientist;эффективное общение;1;S
22;Data Scientist;рефлексивная практика;1;S
23;Data Scientist;анализ поведения ии;1;S
24;Data Scientist;этика разработки;1;S
25;Data Scientist;neo4j;2;K
26;Data Scientist;trino;2;K
27;Data Scientist;oracle db;2;K
28;Data Scientist;database design;2;K
29;Data Scientist;hadoop hdfs;2;K
30;Data Scientist;защита информации;1;S
31;Data Scientist;cpp;1;S
32;Data Scientist;обеспечение качества;1;S
33;Data Scientist;нефункциональные требования;1;S
34;Data Scientist;сетевое взаимодействие;1;S
35;Data Scientist;защищённый ии;1;S
36;Data Scientist;responsible ai;1;S
37;Data Scientist;этика ии;1;S
38;Data Scientist;этические риски;1;S
39;Data Scientist;oidc;0;M
40;Data Scientist;c++ embedded;0;M
41;Data Scientist;c++;1;S
42;Data Scientist;esp32;0;M
43;Data Scientist;ros;0;M
44;Data Scientist;встроенное по c++;0;M
45;Data Scientist;arcgis;1;S
46;Data Scientist;гис;1;S
47;Data Scientist;postgis;1;S
48;Data Scientist;qgis;1;S
49;Data Scientist;дзз;1;S
50;Data Scientist;uml;1;S
51;Data Scientist;интеграция 1с с другими системами;0;M
52;Data Scientist;1c розница;0;M
53;Data Scientist;программирование 1с;0;M
54;Data Scientist;администрирование 1с;0;M
55;Data Scientist;bayesian regression;2;K
56;Data Scientist;апостериорное распределение;2;K
57;Data Scientist;теория вероятностей;2;K
58;Data Scientist;статистический вывод;2;K
59;Data Scientist;байесовская оптимизация гиперпараметров;2;K
60;Data Scientist;логическое программирование;1;S
61;Data Scientist;reactive programming;1;S
62;Data Scientist;обработка естественного языка;2;K
63;Data Scientist;параллельное программирование;1;S
64;Data Scientist;data analysis;2;K
65;Data Scientist;react native;0;M
66;Data Scientist;swiftui;0;M
67;Data Scientist;ios;0;M
68;Data Scientist;android;0;M
69;Data Scientist;cocoapods;0;M
70;Data Scientist;firebase;1;S
71;Data Scientist;gcp;1;S
72;Data Scientist;serverless framework;1;S
73;Data Scientist;directus;0;M
74;Data Scientist;netlify;0;M
75;Data Scientist;машинное обучение python;2;K
76;Data Scientist;аугментация данных;2;K
77;Data Scientist;градиентный бустинг;2;K
78;Data Scientist;подбор гиперпараметров;2;K
79;Data Scientist;тонкая настройка;2;K
80;Data Scientist;unreal engine;0;M
81;Data Scientist;разработка игр;0;M
82;Data Scientist;unity;0;M
83;Data Scientist;webgl;0;M
84;Data Scientist;opengl;0;M
85;Data Scientist;сквозное тестирование;1;S
86;Data Scientist;a/b тестирование;1;S
87;Data Scientist;vitest;0;M
88;Data Scientist;mocha;0;M
89;Data Scientist;модульное тестирование;1;S
90;Data Scientist;atlassian confluence;1;S
91;Data Scientist;определение метрик успеха;1;S
92;Data Scientist;соблюдение архитектуры;1;S
93;Data Scientist;ведение бэклога;1;S
94;Data Scientist;системный анализ;1;S
95;Data Scientist;ktor;0;M
96;Data Scientist;apollo graphql;0;M
97;Data Scientist;testng;0;M
98;Data Scientist;junit;0;M
99;Data Scientist;tailwind css;0;M
100;Data Scientist;solidity;0;M
101;Data Scientist;c++ разработка;0;M
102;Data Scientist;lua;0;M
103;Data Scientist;elixir;0;M
104;Data Scientist;typescript;0;M
105;Data Scientist;устойчивость к атакам;1;S
106;Data Scientist;feature preprocessing;2;K
107;Data Scientist;управление проектами ии;1;S
108;Data Scientist;многослойный перцептрон;2;K
109;Data Scientist;data engineering;2;K
110;Data Scientist;обучение нейросетей;2;K
111;Data Scientist;язык запросов graphql;0;M
112;Data Scientist;power automate;0;M
113;Data Scientist;воплощённый ии;0;M
114;Data Scientist;кодирование категорий;2;K
115;Data Scientist;веб-аналитика;1;S
116;Data Scientist;инженерная документация;1;S
117;Data Scientist;fine-tuning;2;K
118;Data Scientist;randomizedsearchcv;2;K
119;Data Scientist;hadoop java;2;K
120;Data Scientist;rspec;0;M
121;Data Scientist;cot;2;K
122;Data Scientist;conversational ai;2;K
123;Data Scientist;интеграция компонентов;1;S
124;Data Scientist;теория алгоритмов;2;K
