id;role;skill;vote;argtype
374;Системный аналитик;sas;1;S
375;Системный аналитик;ssrs;1;S
376;Системный аналитик;feature selection;1;S
377;Системный аналитик;обработка выбросов;1;S
378;Системный аналитик;feature engineering;1;S
379;Системный аналитик;powershell;1;S
380;Системный аналитик;администрирование windows server;1;S
381;Системный аналитик;vault;1;S
382;Системный аналитик;vagrant;1;S
383;Системный аналитик;kibana;1;S
384;Системный аналитик;scss;1;S
385;Системный аналитик;tailwind css;1;S
386;Системный аналитик;gatsby;1;S
387;Системный аналитик;redwoodjs;1;S
388;Системный аналитик;storybook;1;S
389;Системный аналитик;structured outputs;1;S
390;Системный аналитик;multimodal;1;S
391;Системный аналитик;nltk;1;S
392;Системный аналитик;fine-tuning;1;S
393;Системный аналитик;отладка промптов;1;S
394;Системный аналитик;soft skills;2;K
395;Системный аналитик;этика разработки;2;K
396;Системный аналитик;критический анализ ии;2;K
397;Системный аналитик;работа в команде;2;K
398;Системный аналитик;когнитивная предвзятость;2;K
399;Системный аналитик;greenplum;1;S
400;Системный аналитик;big data;1;S
401;Системный аналитик;data vault;1;S
402;Системный аналитик;amazon redshift;1;S
403;Системный аналитик;trino;1;S
404;Системный аналитик;технологический стек;2;K
405;Системный аналитик;нефункциональные требования;2;K
406;Системный аналитик;программно-аппаратные комплексы;1;S
407;Системный аналитик;технические средства;1;S
408;Системный аналитик;межсетевой экран;1;S
409;Системный аналитик;безопасность алгоритмов;2;K
410;Системный аналитик;соответствие стандартам;2;K
411;Системный аналитик;регуляторика ии;2;K
412;Системный аналитик;справедливый алгоритм;2;K
413;Системный аналитик;оценка рисков ии;2;K
414;Системный аналитик;fpga;0;M
415;Системный аналитик;микроконтроллеры c++;0;M
416;Системный аналитик;rust;0;M
417;Системный аналитик;встроенное по c++;0;M
418;Системный аналитик;c++;0;M
419;Системный аналитик;arcgis;1;S
420;Системный аналитик;дзз;1;S
421;Системный аналитик;гис;1;S
422;Системный аналитик;qgis;1;S
423;Системный аналитик;postgis;1;S
424;Системный аналитик;enterprise java;1;S
425;Системный аналитик;uml;2;K
426;Системный аналитик;ms project;1;S
427;Системный аналитик;erp;2;K
428;Системный аналитик;1c программирование;1;S
429;Системный аналитик;байесовские методы;1;S
430;Системный аналитик;гауссовские процессы;1;S
431;Системный аналитик;байесовский подход;1;S
432;Системный аналитик;байесовская оптимизация гиперпараметров;0;M
433;Системный аналитик;hyperopt;0;M
434;Системный аналитик;микросервисная архитектура;2;K
435;Системный аналитик;web application development;1;S
436;Системный аналитик;jamstack;0;M
437;Системный аналитик;data mining;0;M
438;Системный аналитик;etl;1;S
439;Системный аналитик;разработка мобильных приложений;1;S
440;Системный аналитик;swiftui;1;S
441;Системный аналитик;swift;1;S
442;Системный аналитик;objective-c;1;S
443;Системный аналитик;kotlin;1;S
444;Системный аналитик;headless cms;1;S
445;Системный аналитик;gcp;1;S
446;Системный аналитик;firebase;1;S
447;Системный аналитик;cloudformation;1;S
448;Системный аналитик;azure;1;S
449;Системный аналитик;градиентный бустинг;1;S
450;Системный аналитик;деревья решений;1;S
451;Системный аналитик;knn;1;S
452;Системный аналитик;подбор гиперпараметров;1;S
453;Системный аналитик;нейросетевые инновации;1;S
454;Системный аналитик;opengl;1;S
455;Системный аналитик;webgl;1;S
456;Системный аналитик;unity;1;S
457;Системный аналитик;разработка игр;1;S
458;Системный аналитик;unreal engine;1;S
459;Системный аналитик;тестирование по;2;K
460;Системный аналитик;тестирование безопасности;2;K
461;Системный аналитик;playwright;2;K
462;Системный аналитик;a/b тестирование;2;K
463;Системный аналитик;testng;2;K
464;Системный аналитик;atlassian confluence;2;K
465;Системный аналитик;управление проектами ии;2;K
466;Системный аналитик;системное проектирование;2;K
467;Системный аналитик;task management;2;K
468;Системный аналитик;разработка технических заданий;2;K
469;Системный аналитик;kafka streams;1;S
470;Системный аналитик;webpack;1;S
471;Системный аналитик;three.js;1;S
472;Системный аналитик;quarkus;1;S
473;Системный аналитик;socket.io;1;S
474;Системный аналитик;typescript;1;S
475;Системный аналитик;llvm;1;S
476;Системный аналитик;shell script;2;K
477;Системный аналитик;современный c++;1;S
478;Системный аналитик;xpath;2;K
479;Системный аналитик;мета-обучение;1;S
480;Системный аналитик;1c документооборот;1;S
481;Системный аналитик;openai api;1;S
482;Системный аналитик;presto;1;S
483;Системный аналитик;deep learning research;1;S
484;Системный аналитик;robot framework;1;S
485;Системный аналитик;dom;1;S
486;Системный аналитик;механизм внимания;1;S
487;Системный аналитик;диффузионные модели;1;S
488;Системный аналитик;jdbc;2;K
489;Системный аналитик;remix;1;S
490;Системный аналитик;спецификации (openapi);2;K
491;Системный аналитик;net core;1;S
492;Системный аналитик;визуально-языковые модели;1;S
493;Системный аналитик;generative ai;1;S
494;Системный аналитик;командная работа;2;K
495;Системный аналитик;ассоциативные правила;1;S
496;Системный аналитик;оптимизация sql-запросов;2;K
497;Системный аналитик;мультимодальные llm;1;S
498;Системный аналитик;анализ данных;2;K
